timestamp,image_path,linear_x,angular_z
3.202,images/frame_3202.jpg,0.8,0.0
3.697,images/frame_3697.jpg,0.8,0.0
4.192,images/frame_4192.jpg,0.8,0.0
4.654,images/frame_4654.jpg,0.8,0.0
5.182,images/frame_5182.jpg,0.8,0.0
7.69,images/frame_7690.jpg,0.8,0.0
8.647,images/frame_8647.jpg,0.8,0.0
9.109,images/frame_9109.jpg,0.8,0.0
9.604,images/frame_9604.jpg,0.8,0.0
10.066,images/frame_10066.jpg,0.8,0.0
10.528,images/frame_10528.jpg,0.8,0.0
10.99,images/frame_10990.jpg,0.8,0.0
11.947,images/frame_11947.jpg,0.8,0.0
12.673,images/frame_12673.jpg,0.8,0.0
13.102,images/frame_13102.jpg,0.8,0.0
13.432,images/frame_13432.jpg,0.8,0.0
14.785,images/frame_14785.jpg,0.8,0.0
15.775,images/frame_15775.jpg,0.8,0.0
16.27,images/frame_16270.jpg,0.8,0.0
16.732,images/frame_16732.jpg,0.8,0.0
17.722,images/frame_17722.jpg,0.8,0.0
18.217,images/frame_18217.jpg,0.8,0.0
19.207,images/frame_19207.jpg,0.8,0.0
19.702,images/frame_19702.jpg,0.8,0.0
20.164,images/frame_20164.jpg,0.8,0.0
20.659,images/frame_20659.jpg,0.8,0.0
21.088,images/frame_21088.jpg,0.8,0.0
21.517,images/frame_21517.jpg,0.8,0.0
23.002,images/frame_23002.jpg,0.8,0.0
23.464,images/frame_23464.jpg,0.8,0.0
23.959,images/frame_23959.jpg,0.8,0.0
25.939,images/frame_25939.jpg,0.8,0.0
26.434,images/frame_26434.jpg,0.8,0.0
26.929,images/frame_26929.jpg,0.8,0.0
27.424,images/frame_27424.jpg,0.8,0.0
29.536,images/frame_29536.jpg,0.8,0.0
30.922,images/frame_30922.jpg,0.8,0.0
31.351,images/frame_31351.jpg,0.8,0.0
31.813,images/frame_31813.jpg,0.8,0.0
32.671,images/frame_32671.jpg,0.8,0.0
33.199,images/frame_33199.jpg,0.8,0.0
34.156,images/frame_34156.jpg,0.8,0.0
35.179,images/frame_35179.jpg,0.8,0.0
36.169,images/frame_36169.jpg,0.8,0.0
36.664,images/frame_36664.jpg,0.8,0.0
37.159,images/frame_37159.jpg,0.8,0.0
38.182,images/frame_38182.jpg,0.8,0.0
38.677,images/frame_38677.jpg,0.8,0.0
39.172,images/frame_39172.jpg,0.8,0.0
39.568,images/frame_39568.jpg,0.8,0.0
40.063,images/frame_40063.jpg,0.8,0.0
41.581,images/frame_41581.jpg,0.8,0.0
42.076,images/frame_42076.jpg,0.8,0.0
42.604,images/frame_42604.jpg,0.8,0.0
44.122,images/frame_44122.jpg,0.8,0.0
44.617,images/frame_44617.jpg,0.8,0.0
45.541,images/frame_45541.jpg,0.8,0.0
46.003,images/frame_46003.jpg,0.8,0.0
47.026,images/frame_47026.jpg,0.8,0.0
47.521,images/frame_47521.jpg,0.8,0.0
49.138,images/frame_49138.jpg,0.8,0.0
50.128,images/frame_50128.jpg,0.8,0.0
52.141,images/frame_52141.jpg,0.8,0.0
52.57,images/frame_52570.jpg,0.8,0.0
53.065,images/frame_53065.jpg,0.8,0.0
53.527,images/frame_53527.jpg,0.8,0.0
54.781,images/frame_54781.jpg,0.8,0.0
56.53,images/frame_56530.jpg,0.8,0.0
58.18,images/frame_58180.jpg,0.8,0.0
59.83,images/frame_59830.jpg,0.8,0.0
61.546,images/frame_61546.jpg,0.8,0.0
62.8,images/frame_62800.jpg,0.8,0.0
63.988,images/frame_63988.jpg,0.8,0.0
65.176,images/frame_65176.jpg,0.8,0.0
67.552,images/frame_67552.jpg,0.8,0.0
68.74,images/frame_68740.jpg,0.8,0.0
69.928,images/frame_69928.jpg,0.8,0.0
71.116,images/frame_71116.jpg,0.8,0.0
73.492,images/frame_73492.jpg,0.8,0.0
74.68,images/frame_74680.jpg,0.8,0.0
75.901,images/frame_75901.jpg,0.8,0.0
77.089,images/frame_77089.jpg,0.8,0.0
78.31,images/frame_78310.jpg,0.8,0.0
79.564,images/frame_79564.jpg,0.8,0.0
80.785,images/frame_80785.jpg,0.8,0.0
81.973,images/frame_81973.jpg,0.8,0.0
