timestamp,image_path,linear_x,angular_z
3.886,images/frame_3886.jpg,1.8,0.0
3.886,images/frame_3886.jpg,1.8,0.0
3.894,images/frame_3894.jpg,1.8,0.0
3.927,images/frame_3927.jpg,1.8,0.0
3.9610000000000003,images/frame_3961.jpg,1.8,0.0
3.994,images/frame_3994.jpg,1.8,0.0
4.026,images/frame_4026.jpg,1.8,0.0
4.06,images/frame_4059.jpg,1.8,0.0
4.588,images/frame_4588.jpg,1.8,0.0
4.687,images/frame_4687.jpg,1.8,0.0
4.687,images/frame_4687.jpg,15.0,0.0
4.786,images/frame_4786.jpg,1.8,0.0
4.885,images/frame_4885.jpg,1.8,0.0
4.984,images/frame_4984.jpg,1.8,0.0
5.083,images/frame_5083.jpg,1.8,0.0
5.182,images/frame_5182.jpg,1.8,0.0
5.281,images/frame_5281.jpg,0.5,-2.5
5.38,images/frame_5380.jpg,0.5,-2.5
5.479,images/frame_5479.jpg,1.8,0.0
5.578,images/frame_5578.jpg,1.8,0.0
5.677,images/frame_5677.jpg,1.8,0.0
5.776,images/frame_5776.jpg,1.8,0.0
5.875,images/frame_5875.jpg,1.8,0.0
5.974,images/frame_5974.jpg,1.8,0.0
6.073,images/frame_6073.jpg,1.8,0.0
6.172,images/frame_6172.jpg,1.8,0.0
6.271,images/frame_6271.jpg,1.8,0.0
6.37,images/frame_6370.jpg,1.8,0.0
6.469,images/frame_6469.jpg,1.8,0.0
6.6,images/frame_6600.jpg,1.8,0.0
6.7,images/frame_6700.jpg,0.5,2.5
6.799,images/frame_6799.jpg,1.8,0.0
6.898,images/frame_6898.jpg,1.8,0.0
6.997,images/frame_6997.jpg,1.8,0.0
7.096,images/frame_7096.jpg,1.8,0.0
7.195,images/frame_7195.jpg,0.5,2.5
7.2940000000000005,images/frame_7294.jpg,1.8,0.0
7.393,images/frame_7393.jpg,1.8,0.0
7.492,images/frame_7492.jpg,1.8,0.0
7.591,images/frame_7591.jpg,1.8,0.0
7.69,images/frame_7690.jpg,1.8,0.0
7.789,images/frame_7789.jpg,1.8,0.0
7.888,images/frame_7888.jpg,0.5,2.5
7.987,images/frame_7987.jpg,0.5,2.5
8.086,images/frame_8086.jpg,0.5,2.5
8.185,images/frame_8185.jpg,0.5,2.5
8.284,images/frame_8284.jpg,1.8,0.0
8.383,images/frame_8383.jpg,1.8,0.0
8.482,images/frame_8482.jpg,1.8,0.0
8.581,images/frame_8581.jpg,1.8,0.0
8.68,images/frame_8680.jpg,1.8,0.0
8.779,images/frame_8779.jpg,0.5,-2.5
8.878,images/frame_8878.jpg,0.5,-2.5
8.977,images/frame_8977.jpg,1.8,0.0
9.076,images/frame_9076.jpg,0.5,-2.5
9.175,images/frame_9175.jpg,1.8,0.0
9.274000000000001,images/frame_9274.jpg,1.8,0.0
9.373,images/frame_9373.jpg,1.8,0.0
9.472,images/frame_9472.jpg,1.8,0.0
9.571,images/frame_9571.jpg,1.8,0.0
9.67,images/frame_9670.jpg,1.8,0.0
9.769,images/frame_9769.jpg,1.8,0.0
9.9,images/frame_9900.jpg,1.8,0.0
10.0,images/frame_10000.jpg,1.8,0.0
10.099,images/frame_10099.jpg,1.8,0.0
10.198,images/frame_10198.jpg,1.8,0.0
10.297,images/frame_10297.jpg,1.8,0.0
10.396,images/frame_10396.jpg,1.8,0.0
10.495,images/frame_10495.jpg,1.8,0.0
10.594,images/frame_10594.jpg,1.8,0.0
10.693,images/frame_10693.jpg,1.8,0.0
10.792,images/frame_10792.jpg,1.8,0.0
10.891,images/frame_10891.jpg,1.8,0.0
10.99,images/frame_10990.jpg,1.8,0.0
11.089,images/frame_11089.jpg,1.8,0.0
11.188,images/frame_11188.jpg,1.8,0.0
11.287,images/frame_11287.jpg,1.8,0.0
11.386,images/frame_11386.jpg,1.8,0.0
11.485,images/frame_11485.jpg,1.8,0.0
11.584,images/frame_11584.jpg,1.8,0.0
11.683,images/frame_11683.jpg,1.8,0.0
11.782,images/frame_11782.jpg,1.8,0.0
11.881,images/frame_11881.jpg,1.8,0.0
11.98,images/frame_11980.jpg,1.8,0.0
12.079,images/frame_12079.jpg,1.8,0.0
12.178,images/frame_12178.jpg,1.8,0.0
12.277,images/frame_12277.jpg,1.8,0.0
12.376,images/frame_12376.jpg,1.8,0.0
12.475,images/frame_12475.jpg,1.8,0.0
12.574,images/frame_12574.jpg,1.8,0.0
12.673,images/frame_12673.jpg,1.8,0.0
12.772,images/frame_12772.jpg,1.8,0.0
12.871,images/frame_12871.jpg,1.8,0.0
12.97,images/frame_12970.jpg,1.8,0.0
13.069,images/frame_13069.jpg,1.8,0.0
13.2,images/frame_13200.jpg,1.8,0.0
13.3,images/frame_13300.jpg,1.8,0.0
13.399000000000001,images/frame_13399.jpg,1.8,0.0
13.498,images/frame_13498.jpg,1.8,0.0
13.597,images/frame_13597.jpg,1.8,0.0
13.696,images/frame_13696.jpg,1.8,0.0
13.795,images/frame_13795.jpg,1.8,0.0
13.894,images/frame_13894.jpg,1.8,0.0
13.993,images/frame_13993.jpg,1.8,0.0
14.092,images/frame_14092.jpg,1.8,0.0
14.191,images/frame_14191.jpg,1.8,0.0
14.29,images/frame_14290.jpg,1.8,0.0
14.389,images/frame_14389.jpg,1.8,0.0
14.488,images/frame_14488.jpg,1.8,0.0
14.587,images/frame_14587.jpg,1.8,0.0
14.686,images/frame_14686.jpg,1.8,0.0
14.785,images/frame_14785.jpg,1.8,0.0
14.884,images/frame_14884.jpg,1.8,0.0
14.983,images/frame_14983.jpg,1.8,0.0
15.082,images/frame_15082.jpg,1.8,0.0
15.181,images/frame_15181.jpg,1.8,0.0
15.28,images/frame_15280.jpg,1.8,0.0
15.379,images/frame_15379.jpg,1.8,0.0
15.478,images/frame_15478.jpg,1.8,0.0
15.577,images/frame_15577.jpg,1.8,0.0
15.676,images/frame_15676.jpg,1.8,0.0
15.775,images/frame_15775.jpg,1.8,0.0
15.874,images/frame_15874.jpg,1.8,0.0
15.973,images/frame_15973.jpg,1.8,0.0
16.072,images/frame_16072.jpg,1.8,0.0
16.171,images/frame_16171.jpg,1.8,0.0
16.27,images/frame_16270.jpg,1.8,0.0
16.369,images/frame_16369.jpg,1.8,0.0
16.5,images/frame_16500.jpg,1.8,0.0
16.6,images/frame_16600.jpg,1.8,0.0
16.699,images/frame_16699.jpg,1.8,0.0
16.798000000000002,images/frame_16798.jpg,1.8,0.0
16.897,images/frame_16897.jpg,1.8,0.0
16.996,images/frame_16996.jpg,1.8,0.0
17.095,images/frame_17095.jpg,1.8,0.0
17.194,images/frame_17194.jpg,1.8,0.0
17.293,images/frame_17293.jpg,1.8,0.0
17.392,images/frame_17392.jpg,1.8,0.0
17.491,images/frame_17491.jpg,1.8,0.0
17.59,images/frame_17590.jpg,1.8,0.0
17.689,images/frame_17689.jpg,1.8,0.0
17.788,images/frame_17788.jpg,1.8,0.0
17.887,images/frame_17887.jpg,1.8,0.0
17.986,images/frame_17986.jpg,1.8,0.0
18.085,images/frame_18085.jpg,1.8,0.0
18.184,images/frame_18184.jpg,1.8,0.0
18.283,images/frame_18283.jpg,1.8,0.0
18.382,images/frame_18382.jpg,1.8,0.0
18.481,images/frame_18481.jpg,1.8,0.0
18.58,images/frame_18580.jpg,1.8,0.0
18.679,images/frame_18679.jpg,1.8,0.0
18.778,images/frame_18778.jpg,1.8,0.0
18.877,images/frame_18877.jpg,1.8,0.0
18.976,images/frame_18976.jpg,1.8,0.0
4.279,images/frame_4279.jpg,1.8,0.0
4.279,images/frame_4279.jpg,1.8,0.0
4.29,images/frame_4290.jpg,1.8,0.0
4.323,images/frame_4323.jpg,1.8,0.0
4.357,images/frame_4357.jpg,1.8,0.0
4.39,images/frame_4390.jpg,1.8,0.0
4.422,images/frame_4422.jpg,1.8,0.0
4.456,images/frame_4456.jpg,1.8,0.0
4.489,images/frame_4489.jpg,1.8,0.0
4.521,images/frame_4521.jpg,1.8,0.0
4.555,images/frame_4555.jpg,1.8,0.0
4.588,images/frame_4588.jpg,1.8,0.0
